Unnamed: 0,RequestID,StartDate,EndDate,AgencyName,CategoryDescription,SelectionMethodDescription,ContractAmount
305,20180601003,06/08/2018,06/08/2018,Citywide Administrative Services,Goods,Competitive Sealed Bids,186368.66
306,20160411012,04/18/2016,04/18/2016,Citywide Administrative Services,Goods,Competitive Sealed Bids,190074.71
307,20120330025,04/06/2012,04/06/2012,Citywide Administrative Services,Goods,Competitive Sealed Bids,116325.0
308,20150612017,06/19/2015,06/19/2015,Citywide Administrative Services,Goods,Competitive Sealed Bids,5738006.4
310,20150427027,05/04/2015,05/04/2015,Citywide Administrative Services,Goods,Competitive Sealed Bids,171433.67
311,20170630038,07/11/2017,07/11/2017,Citywide Administrative Services,Goods,Other,122440.26
314,20091215027,12/22/2009,12/22/2009,Citywide Administrative Services,Goods,Competitive Sealed Bids,18437.86
315,20120123020,01/30/2012,01/30/2012,Citywide Administrative Services,Goods,Intergovernmental Purchase,495868.24
316,20120620008,06/28/2012,06/28/2012,Citywide Administrative Services,Goods,Intergovernmental Purchase,1056532.0
318,20160719004,07/26/2016,07/26/2016,Citywide Administrative Services,Goods,Competitive Sealed Bids,617780.0
321,20120629027,07/09/2012,07/09/2012,Citywide Administrative Services,Goods,Competitive Sealed Bids,763502.7
322,20111214004,12/21/2011,12/21/2011,Citywide Administrative Services,Goods,Competitive Sealed Bids,9218250.0
323,20120628022,07/05/2012,07/05/2012,Citywide Administrative Services,Goods,Competitive Sealed Bids,2350507.09
324,20200429019,05/07/2020,05/07/2020,Citywide Administrative Services,Goods,Emergency Purchase,2517000.0
325,20131126008,12/03/2013,12/03/2013,Citywide Administrative Services,Goods,Intergovernmental Purchase,4673906.0
327,20080521007,05/29/2008,05/29/2008,Citywide Administrative Services,Goods,Intergovernmental Purchase,194184.0
328,20090331017,04/07/2009,04/07/2009,Citywide Administrative Services,Goods,Competitive Sealed Bids,99790.0
331,20160524011,06/01/2016,06/01/2016,Citywide Administrative Services,Goods,Competitive Sealed Bids,3952709.1
332,20080926007,10/03/2008,10/03/2008,Citywide Administrative Services,Goods,Intergovernmental Purchase,2445395.0
333,20081114005,11/21/2008,11/21/2008,Citywide Administrative Services,Goods,Competitive Sealed Bids,2327.58
335,20150129012,02/05/2015,02/05/2015,Citywide Administrative Services,Goods,Competitive Sealed Bids,550959.75
336,20080819013,08/26/2008,08/26/2008,Citywide Administrative Services,Goods,Intergovernmental Purchase,332442.0
339,20190705013,07/12/2019,07/12/2019,Citywide Administrative Services,Goods,Competitive Sealed Bids,256000.0
340,20090903012,09/11/2009,09/11/2009,Citywide Administrative Services,Goods,Intergovernmental Purchase,100000.0
341,20180904010,09/11/2018,09/11/2018,Citywide Administrative Services,Goods,Negotiated Acquisition,1700000.0
342,20131218009,12/26/2013,12/26/2013,Citywide Administrative Services,Goods,Competitive Sealed Bids,168112.42
343,20140529019,06/05/2014,06/05/2014,Citywide Administrative Services,Goods,Competitive Sealed Bids,34344.0
344,20200429015,05/07/2020,05/07/2020,Citywide Administrative Services,Goods,Emergency Purchase,1494840.0
346,20110620017,06/27/2011,06/27/2011,Citywide Administrative Services,Goods,Competitive Sealed Bids,674.0
350,20150209016,02/17/2015,02/17/2015,Citywide Administrative Services,Goods,Competitive Sealed Bids,2785545.0
351,20190621057,06/28/2019,06/28/2019,Citywide Administrative Services,Goods,Competitive Sealed Bids,6655.56
353,20190613032,06/20/2019,06/20/2019,Citywide Administrative Services,Goods,Competitive Sealed Bids,90632.98
354,20170620008,06/27/2017,06/27/2017,Citywide Administrative Services,Goods,Competitive Sealed Bids,51506.0
356,20160512009,05/19/2016,05/19/2016,Citywide Administrative Services,Goods,Competitive Sealed Bids,2419635.0
368,20150522026,06/02/2015,06/02/2015,Citywide Administrative Services,Goods,Other,567694.86
373,20080307020,03/14/2008,03/14/2008,Citywide Administrative Services,Goods,Competitive Sealed Bids,8303595.0
374,20090730020,08/06/2009,08/06/2009,Citywide Administrative Services,Goods,Competitive Sealed Bids,1105490.15
377,20150213007,02/24/2015,02/24/2015,Citywide Administrative Services,Goods,Intergovernmental Purchase,145636.0
378,20170809007,08/16/2017,08/16/2017,Citywide Administrative Services,Goods,Competitive Sealed Bids,206910.0
379,20080716003,07/23/2008,07/23/2008,Citywide Administrative Services,Goods,Intergovernmental Purchase,450000.0
380,20190912009,09/19/2019,09/19/2019,Citywide Administrative Services,Goods,Competitive Sealed Bids,160225.0
381,20180509020,05/16/2018,05/16/2018,Citywide Administrative Services,Goods,Competitive Sealed Bids,208244.5
382,20171201010,12/08/2017,12/08/2017,Citywide Administrative Services,Goods,Competitive Sealed Bids,127944.0
384,20190925010,10/02/2019,10/02/2019,Correction,Goods,Innovative Procurement,118750.0
385,20100413023,04/20/2010,04/20/2010,Citywide Administrative Services,Goods,Renewal,0.01
386,20100723020,07/30/2010,07/30/2010,Citywide Administrative Services,Goods,Competitive Sealed Bids,16088.8
387,20070917004,09/24/2007,09/24/2007,Citywide Administrative Services,Goods,Competitive Sealed Bids,400925.88
388,20161220005,12/28/2016,12/28/2016,Information Technology and Telecommunications,Goods,Intergovernmental Purchase,291648.12
390,20091116023,11/23/2009,11/23/2009,Citywide Administrative Services,Goods,Competitive Sealed Bids,504000.0
393,20190627029,07/08/2019,07/08/2019,Transportation,Goods,Innovative Procurement,27979.0
394,20180723007,07/30/2018,07/30/2018,Citywide Administrative Services,Goods,Sole Source,6343698.75
397,20100628005,07/06/2010,07/06/2010,Citywide Administrative Services,Goods,Competitive Sealed Bids,79680.0
399,20130325014,04/02/2013,04/02/2013,Citywide Administrative Services,Goods,Intergovernmental Purchase,222439.24
402,20070814010,08/21/2007,08/21/2007,Citywide Administrative Services,Goods,Competitive Sealed Bids,565365.36
403,20090624011,07/01/2009,07/01/2009,Citywide Administrative Services,Goods,Competitive Sealed Bids,1164000.0
404,20071210022,12/17/2007,12/17/2007,Citywide Administrative Services,Goods,Intergovernmental Purchase,480573.75
406,20181224008,01/02/2019,01/02/2019,Citywide Administrative Services,Goods,Renewal,284000000.0
407,20140106016,01/14/2014,01/14/2014,Citywide Administrative Services,Goods,Intergovernmental Purchase,142345.17
408,20180706008,07/13/2018,07/13/2018,Citywide Administrative Services,Goods,Competitive Sealed Bids,575522.5
409,20110701018,07/11/2011,07/11/2011,Citywide Administrative Services,Goods,Intergovernmental Purchase,364481.64
410,20161027015,11/03/2016,11/03/2016,Citywide Administrative Services,Goods,Competitive Sealed Bids,489000.0
411,20200430017,05/07/2020,05/07/2020,Emergency Management,Goods,Emergency Purchase,252000.0
412,20150707002,07/14/2015,07/14/2015,Citywide Administrative Services,Goods,Other,117600.0
413,20150925021,10/02/2015,10/02/2015,Citywide Administrative Services,Goods,Competitive Sealed Bids,188503.9
414,20080428014,05/05/2008,05/05/2008,Citywide Administrative Services,Goods,Competitive Sealed Bids,312000.0
415,20111104012,11/15/2011,11/15/2011,Citywide Administrative Services,Goods,Competitive Sealed Bids,1298407.0
416,20081201015,12/08/2008,12/08/2008,Citywide Administrative Services,Goods,Competitive Sealed Bids,62850.0
417,20100119020,01/26/2010,01/26/2010,Citywide Administrative Services,Goods,Competitive Sealed Bids,109200.0
418,20190124021,01/31/2019,01/31/2019,Citywide Administrative Services,Goods,Competitive Sealed Bids,2703150.0
419,20121203017,12/10/2012,12/10/2012,Citywide Administrative Services,Goods,Competitive Sealed Bids,387321.76
423,20090303013,03/10/2009,03/10/2009,Citywide Administrative Services,Goods,Competitive Sealed Bids,449755.46
430,20130829009,09/09/2013,09/09/2013,Citywide Administrative Services,Goods,Intergovernmental Purchase,212100.0
431,20180620004,06/27/2018,06/27/2018,Citywide Administrative Services,Goods,Competitive Sealed Bids,160597.5
432,20090624022,07/01/2009,07/01/2009,Citywide Administrative Services,Goods,Competitive Sealed Bids,3675.0
433,20150122019,01/29/2015,01/29/2015,Citywide Administrative Services,Goods,Competitive Sealed Bids,687759.63
434,20180914011,09/21/2018,09/21/2018,Citywide Administrative Services,Goods,Competitive Sealed Bids,3194320.0
435,20170523017,05/31/2017,05/31/2017,Citywide Administrative Services,Goods,Competitive Sealed Bids,97125.0
440,20090428024,05/06/2009,05/06/2009,Citywide Administrative Services,Goods,Intergovernmental Purchase,1473558.5
441,20120816017,08/23/2012,08/23/2012,Citywide Administrative Services,Goods,Competitive Sealed Bids,993051.36
442,20091014016,10/21/2009,10/21/2009,Citywide Administrative Services,Goods,Intergovernmental Purchase,386480.0
444,20150601013,06/09/2015,06/09/2015,Citywide Administrative Services,Goods,Other,612832.33
445,20090724010,07/31/2009,07/31/2009,Citywide Administrative Services,Goods,Competitive Sealed Bids,336482.72
446,20170906029,09/13/2017,09/13/2017,Citywide Administrative Services,Goods,Competitive Sealed Bids,92936.0
447,20090708013,07/15/2009,07/15/2009,Citywide Administrative Services,Goods,Competitive Sealed Bids,573791.24
448,20090716010,07/23/2009,07/23/2009,Citywide Administrative Services,Goods,Competitive Sealed Bids,546000.0
449,20180724010,07/31/2018,07/31/2018,Citywide Administrative Services,Goods,Competitive Sealed Bids,349000.0
450,20150415018,04/22/2015,04/22/2015,Citywide Administrative Services,Goods,Competitive Sealed Bids,363834.99
451,20080118013,01/28/2008,01/28/2008,Citywide Administrative Services,Goods,Competitive Sealed Bids,20597525.0
